Method: last ten, Chunksize: 9, Threshold: 0.05, Size: 2.42324, Time: 11177
Method: last ten, Chunksize: 9, Threshold: 0.1, Size: 2.42324, Time: 11312
Method: last ten, Chunksize: 9, Threshold: 0.15, Size: 2.42186, Time: 11201
Method: last ten, Chunksize: 9, Threshold: 0.2, Size: 2.42186, Time: 11108
Method: last ten, Chunksize: 9, Threshold: 0.25, Size: 2.42475, Time: 11133
Method: last ten, Chunksize: 9, Threshold: 0.3, Size: 2.42475, Time: 11067
Method: last ten, Chunksize: 9, Threshold: 0.35, Size: 2.42474, Time: 11089
Method: last ten, Chunksize: 9, Threshold: 0.4, Size: 2.42474, Time: 11288
Method: last ten, Chunksize: 9, Threshold: 0.45, Size: 2.42302, Time: 11142
Method: last ten, Chunksize: 9, Threshold: 0.5, Size: 2.42302, Time: 11242
Method: last ten, Chunksize: 9, Threshold: 0.55, Size: 2.42419, Time: 10999
Method: last ten, Chunksize: 9, Threshold: 0.6, Size: 2.42419, Time: 11156
Method: last ten, Chunksize: 9, Threshold: 0.65, Size: 2.42671, Time: 10875
Method: last ten, Chunksize: 9, Threshold: 0.7, Size: 2.42671, Time: 11112
Method: last ten, Chunksize: 9, Threshold: 0.75, Size: 2.42731, Time: 11158
Method: last ten, Chunksize: 9, Threshold: 0.8, Size: 2.42731, Time: 11164
Method: last ten, Chunksize: 9, Threshold: 0.85, Size: 5.3275, Time: 10357
Method: last ten, Chunksize: 9, Threshold: 0.9, Size: 5.3275, Time: 10553
Method: last ten, Chunksize: 9, Threshold: 0.95, Size: 5.32494, Time: 10688
Method: last ten, Chunksize: 9, Threshold: 1, Size: 5.32494, Time: 10737
Method: last ten, Chunksize: 10, Threshold: 0.05, Size: 1.84742, Time: 11604
Method: last ten, Chunksize: 10, Threshold: 0.1, Size: 1.84742, Time: 11252
Method: last ten, Chunksize: 10, Threshold: 0.15, Size: 1.8508, Time: 11317
Method: last ten, Chunksize: 10, Threshold: 0.2, Size: 1.8508, Time: 11496
Method: last ten, Chunksize: 10, Threshold: 0.25, Size: 1.85313, Time: 11476
Method: last ten, Chunksize: 10, Threshold: 0.3, Size: 1.85313, Time: 11584
Method: last ten, Chunksize: 10, Threshold: 0.35, Size: 1.85673, Time: 11777
Method: last ten, Chunksize: 10, Threshold: 0.4, Size: 1.85673, Time: 11623
Method: last ten, Chunksize: 10, Threshold: 0.45, Size: 1.86013, Time: 11761
Method: last ten, Chunksize: 10, Threshold: 0.5, Size: 1.86013, Time: 11816
Method: last ten, Chunksize: 10, Threshold: 0.55, Size: 1.86182, Time: 11296
Method: last ten, Chunksize: 10, Threshold: 0.6, Size: 1.86182, Time: 11636
Method: last ten, Chunksize: 10, Threshold: 0.65, Size: 1.86437, Time: 11369
Method: last ten, Chunksize: 10, Threshold: 0.7, Size: 1.86437, Time: 11166
Method: last ten, Chunksize: 10, Threshold: 0.75, Size: 1.86688, Time: 11182
Method: last ten, Chunksize: 10, Threshold: 0.8, Size: 1.86688, Time: 11155
Method: last ten, Chunksize: 10, Threshold: 0.85, Size: 1.86873, Time: 11054
Method: last ten, Chunksize: 10, Threshold: 0.9, Size: 1.86873, Time: 11073
Method: last ten, Chunksize: 10, Threshold: 0.95, Size: 5.31888, Time: 10334
Method: last ten, Chunksize: 10, Threshold: 1, Size: 5.31888, Time: 10605
Method: last ten, Chunksize: 11, Threshold: 0.05, Size: 1.62951, Time: 11635
Method: last ten, Chunksize: 11, Threshold: 0.1, Size: 1.62951, Time: 11766
Method: last ten, Chunksize: 11, Threshold: 0.15, Size: 1.63998, Time: 11366
Method: last ten, Chunksize: 11, Threshold: 0.2, Size: 1.63998, Time: 11466
Method: last ten, Chunksize: 11, Threshold: 0.25, Size: 1.65135, Time: 11418
Method: last ten, Chunksize: 11, Threshold: 0.3, Size: 1.65135, Time: 11477
Method: last ten, Chunksize: 11, Threshold: 0.35, Size: 1.6614, Time: 11334
Method: last ten, Chunksize: 11, Threshold: 0.4, Size: 1.6614, Time: 11381
Method: last ten, Chunksize: 11, Threshold: 0.45, Size: 1.67234, Time: 11312
Method: last ten, Chunksize: 11, Threshold: 0.5, Size: 1.67234, Time: 11299
Method: last ten, Chunksize: 11, Threshold: 0.55, Size: 1.68279, Time: 11261
Method: last ten, Chunksize: 11, Threshold: 0.6, Size: 1.68279, Time: 11242
Method: last ten, Chunksize: 11, Threshold: 0.65, Size: 1.69282, Time: 11391
Method: last ten, Chunksize: 11, Threshold: 0.7, Size: 1.69282, Time: 11264
Method: last ten, Chunksize: 11, Threshold: 0.75, Size: 1.7033, Time: 11597
Method: last ten, Chunksize: 11, Threshold: 0.8, Size: 1.7033, Time: 11835
Method: last ten, Chunksize: 11, Threshold: 0.85, Size: 1.71267, Time: 11625
Method: last ten, Chunksize: 11, Threshold: 0.9, Size: 1.71267, Time: 11753
Method: last ten, Chunksize: 11, Threshold: 0.95, Size: 1.71963, Time: 11221
Method: last ten, Chunksize: 11, Threshold: 1, Size: 1.71963, Time: 11502
