Method: default, Chunksize: 2, Threshold: 0.05, Size: 5.42926
Method: default, Chunksize: 2, Threshold: 0.1, Size: 5.42539
Method: default, Chunksize: 2, Threshold: 0.15, Size: 5.42205
Method: default, Chunksize: 2, Threshold: 0.2, Size: 5.4206
Method: default, Chunksize: 2, Threshold: 0.25, Size: 5.41773
Method: default, Chunksize: 2, Threshold: 0.3, Size: 5.4123
Method: default, Chunksize: 2, Threshold: 0.35, Size: 5.41295
Method: default, Chunksize: 2, Threshold: 0.4, Size: 5.42051
Method: default, Chunksize: 2, Threshold: 0.45, Size: 5.43646
Method: default, Chunksize: 2, Threshold: 0.5, Size: 5.45372
Method: default, Chunksize: 2, Threshold: 0.55, Size: 5.48769
Method: default, Chunksize: 2, Threshold: 0.6, Size: 5.50351
Method: default, Chunksize: 2, Threshold: 0.65, Size: 5.51885
Method: default, Chunksize: 2, Threshold: 0.7, Size: 5.44467
Method: default, Chunksize: 2, Threshold: 0.75, Size: 5.34107
Method: default, Chunksize: 2, Threshold: 0.8, Size: 5.34033
Method: default, Chunksize: 2, Threshold: 0.85, Size: 5.33638
Method: default, Chunksize: 2, Threshold: 0.9, Size: 5.33638
Method: default, Chunksize: 2, Threshold: 0.95, Size: 5.33536
Method: default, Chunksize: 2, Threshold: 1, Size: 5.33536
Method: default, Chunksize: 3, Threshold: 0.05, Size: 5.18631
Method: default, Chunksize: 3, Threshold: 0.1, Size: 5.17723
Method: default, Chunksize: 3, Threshold: 0.15, Size: 5.17234
Method: default, Chunksize: 3, Threshold: 0.2, Size: 5.17542
Method: default, Chunksize: 3, Threshold: 0.25, Size: 5.18043
Method: default, Chunksize: 3, Threshold: 0.3, Size: 5.18914
Method: default, Chunksize: 3, Threshold: 0.35, Size: 5.20141
Method: default, Chunksize: 3, Threshold: 0.4, Size: 5.22118
Method: default, Chunksize: 3, Threshold: 0.45, Size: 5.25803
Method: default, Chunksize: 3, Threshold: 0.5, Size: 5.28966
Method: default, Chunksize: 3, Threshold: 0.55, Size: 5.37121
